DENOMINAZIONE;LATITUDINE_N;LONGITUDINE_E
CURSOLO;460555;83403
PREMIA;461814;82209
VARALLO POMBIA;454028;83744
ACCEGLIO COLLET;443112;65423
ACCEGLIO;442907;65853
CEVA;442311;80100
COSTIGLIOLE SALUZZO;443328;72945
CUNEO CAMERA COMMERCIO;442317;73250
CUNEO CASCINA VECCHIA;442212;73138
TREISO;444039;80455
MONTALDO SCARAMPI;444945;81533
TONENGO;450656;80020
ALESSANDRIA LOBBI;445613;84214
BRIGNANO FRASCATA;444812;90149
OVADA;443850;83808
CREA;450537;81640
MONTENOTTE INFERIORE;442421;82440
CAIRO MONTENOTTE;442320;81645
PIANA CRIXIA BORMIDA;442926;81834
ISOLA DEL CANTONE VOBBIA;443835;85901
BOBBIO PELLICE;444907;70656
COLLE BARANT;444628;70338
FRONT MALONE;451700;73957
PONT SOANA;452518;73606
SABBIA;455125;81412
ALBA TANARO;444219;80139
MONTE BERLINO;441218;75560
COLLE SAN BERNARDO;441041;80253
GARESSIO TANARO;441207;80055
SASSELLO;442825;82901
PIAMPALUDO;442724;83444
ROSSIGLIONE;443431;83931
GERMAGNANO BORGO STURA DI VIU';451440;72601
SAUZE CESANA;445340;65508
VARISELLA;451136;72811
CELLIO;454505;81937
PIEDICAVALLO;454122;75723
CICOGNA;460013;82930
ARVOGNO;461005;82723
SOMANO;443227;80103
VIOLA;441710;75714
CARTOSIO ERRO;443424;82516
